key,current_kind,current_year,current_venue,currently_arxiv,s2_match_title,s2_year,s2_venue,s2_pub_types,swap_suggested
kerner2024ftw,inproceedings,2024,NeurIPS Datasets and Benchmarks Track,False,Fields of The World: A Machine Learning Benchmark Dataset For Global Agricultural Field Boundary Segmentation,2024,AAAI Conference on Artificial Intelligence,"JournalArticle,Conference",verify_venue:AAAI Conference on Artificial Intelligence
muhawenayo2026prue,inproceedings,2026,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),False,,,,,no_match
tetteh2021ai4smallfarms,article,2023,IEEE Geoscience and Remote Sensing Letters,False,,,,,no_match
wang2020unified,article,2020,Remote Sensing,False,,,,,no_match
wang2022unified,article,2022,Remote Sensing of Environment,False,,,,,no_match
persello2019delineation,article,2019,Remote Sensing of Environment,False,,,,,no_match
khallaghi2025multitemporal,misc,2025,,False,,,,,no_match
planetlabs2023psscene,misc,2023,,False,,,,,no_match
cogspec,misc,,,False,,,,,no_match
stacspec,misc,,,False,,,,,no_match
ftw-source-coop,misc,2024,,False,,,,,no_match
girard2021ffl,inproceedings,2021,CVPR,False,,,,,no_match
shit2021cldice,inproceedings,2021,CVPR,False,clDice - a Novel Topology-Preserving Loss Function for Tubular Structure Segmentation,2020,Computer Vision and Pattern Recognition,"JournalArticle,Conference",verify_venue:Computer Vision and Pattern Recognition
ronneberger2015unet,inproceedings,2015,MICCAI,False,,,,,no_match
tan2019efficientnet,inproceedings,2019,ICML,False,,,,,no_match
ioffe2015batchnorm,inproceedings,2015,ICML,False,Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,2015,International Conference on Machine Learning,"JournalArticle,Conference",verify_venue:International Conference on Machine Learning
kirillov2019panoptic,inproceedings,2019,CVPR,False,,,,,no_match
lin2014coco,inproceedings,2014,ECCV,False,,,,,no_match
yun2019cutmix,inproceedings,2019,ICCV,False,,,,,no_match
beucher1993watershed,incollection,1993,Mathematical Morphology in Image Processing,False,,,,,no_match
waldner2021decode,article,2020,Remote Sensing of Environment,False,,,,,no_match
redmon2017yolo9000,inproceedings,2017,CVPR,False,,,,,no_match
lowder2016farms,article,2016,World Development,False,,,,,no_match
samberg2016smallholder,article,2016,Environmental Research Letters,False,,,,,no_match
drusch2012sentinel2,article,2012,Remote Sensing of Environment,False,,,,,no_match
beckerreshef2020geoglam,article,2020,Remote Sensing of Environment,False,,,,,no_match
dandrimont2021parcel,article,2021,Remote Sensing of Environment,False,From parcel to continental scale - A first European crop type map based on Sentinel-1 and LUCAS Copernicus in-situ observations,2021,Remote Sensing of Environment,"JournalArticle,Review",
estes2022smallholder,article,2022,Frontiers in Artificial Intelligence,False,,,,,no_match
defourny2019sen2agri,article,2019,Remote Sensing of Environment,False,Near real-time agriculture monitoring at national scale at parcel resolution: Performance assessment of the Sen2-Agri automated system in various cropping systems around the world,2019,Remote Sensing of Environment,,
garciapedrero2017boundary,article,2017,International Journal of Remote Sensing,False,,,,,no_match
