source_file,model,imagery,backbone,license_split,protocol,country,n_patches,pq,sq,rq,f1_5_95,poly_count_delta_mean,poly_count_delta_p50,bnd_err_mean_m,bnd_err_p95_m
planet_b7_augmax_ccby.csv,PRUE-FTP-B7-augmax,planet,efficientnet-b7,ccby,heldout_11country,latvia,703,0.429064,0.834617,0.514085,0.370308,4.3115,3.0000,7.8805,27.8836
planet_b7_augmax_ccby.csv,PRUE-FTP-B7-augmax,planet,efficientnet-b7,ccby,heldout_11country,lithuania,403,0.403150,0.810913,0.497156,0.334161,6.9553,4.0000,6.6100,23.4856
planet_b7_augmax_ccby.csv,PRUE-FTP-B7-augmax,planet,efficientnet-b7,ccby,heldout_11country,portugal,2,0.000000,0.000000,0.000000,0.000000,146.0000,146.0000,nan,nan
planet_b7_augmax_ccby.csv,PRUE-FTP-B7-augmax,planet,efficientnet-b7,ccby,heldout_11country,slovenia,214,0.211206,0.737507,0.286379,0.150591,23.7897,15.0000,4.8401,11.7185
planet_b7_augmax_ccby.csv,PRUE-FTP-B7-augmax,planet,efficientnet-b7,ccby,heldout_11country,south_africa,43,0.467743,0.847107,0.552165,0.410930,5.4651,3.0000,8.9860,31.7970
planet_b7_augmax_ccby.csv,PRUE-FTP-B7-augmax,planet,efficientnet-b7,ccby,heldout_11country,sweden,416,0.449955,0.835872,0.538306,0.388549,6.6010,4.0000,8.0892,27.2342
planet_b3_sdf_augmax_ccby.csv,PRUE-FTP-B3-augmax-SDF,planet,efficientnet-b3,ccby,heldout_11country,belgium,146,0.394592,0.801692,0.492199,0.322033,13.7123,11.0000,5.2094,15.2741
planet_b3_sdf_augmax_ccby.csv,PRUE-FTP-B3-augmax-SDF,planet,efficientnet-b3,ccby,heldout_11country,cambodia,16,0.108067,0.647557,0.166884,0.057694,439.0000,384.0000,6.1084,11.0843
planet_b3_sdf_augmax_ccby.csv,PRUE-FTP-B3-augmax-SDF,planet,efficientnet-b3,ccby,heldout_11country,croatia,349,0.213351,0.732370,0.291316,0.150238,19.8567,11.0000,6.3878,17.3716
planet_b3_sdf_augmax_ccby.csv,PRUE-FTP-B3-augmax-SDF,planet,efficientnet-b3,ccby,heldout_11country,germany,252,0.272450,0.806634,0.337762,0.224936,5.4365,2.0000,17.3430,56.0696
